(-0.367417,-0.1875)
(0.158008,-0.231229)
(0.26449,-0.0112383)
(-0.0770463,0.32935)
(0.061758,0.376621)
(-0.379359,0.164526)
(0.165743,-0.254383)
(0.0462569,-1.92899)
(0.230698,1.89022)
(-0.148232,0.360028)
(-0.10277,-0.39433)
(-0.124519,-0.237474)
(-0.0346498,-0.236906)
(0.29226,0.0789352)
(1.03016,0.148234)
(-2.35345,0.205131)
(1.10743,-0.172511)
(0.532052,0.0873061)
(-0.101775,-0.142112)
(-0.396442,0.0466678)
(-0.149333,-0.0416814)
(0.156804,0.0631737)
(0.167412,-0.345144)
(-0.0482242,0.624069)
(0.20697,-0.0999511)
(-0.32829,-0.198302)
(-0.161991,-0.209947)
(0.174881,0.0951948)
(0.214808,0.0491962)
(0.53744,0.495458)
(-1.49936,-0.849904)
(0.616841,0.556076)
(0.759792,0.229032)
(-0.583559,-0.412393)
(0.214039,-0.391811)
(-0.599646,0.136101)
(0.360018,0.334323)
(0.0349685,1.2443)
(0.39189,-1.65313)
(-0.401454,-0.403834)
(-0.015231,0.866394)
(-0.080594,-0.178266)
(0.0373992,0.450429)
(0.0118781,-0.142833)
(0.117504,0.289946)
(0.526156,-1.62274)
(-0.758793,0.987041)
(-0.251484,0.66941)
(0.546851,-0.437871)
(-0.238915,-0.00531532)
(0.490703,-0.249061)
(-0.487564,0.0615752)
(0.710502,-0.136536)
(-1.19963,0.527059)
(0.183099,-0.217235)
(0.73039,-0.188331)
(0.148261,-0.0111986)
(-0.303303,0.165537)
(-0.420224,0.127208)
(-0.381916,0.0518227)
(1.44749,-0.800439)
(-0.744889,0.451868)
(-0.559811,0.502483)
(0.64627,-0.280549)
(0.205806,0.140165)
(-0.282974,-0.515869)
(-0.14515,0.168136)
(-0.521345,-0.678874)
(1.08481,1.6173)
(-0.26604,-0.171941)
(-0.390358,-1.17313)
(0.353921,0.343956)
(-0.348054,-0.135899)
(0.239973,0.402438)
(-0.289263,-0.151073)
(0.413494,0.802705)
(-0.0299351,-0.67655)
(-0.229415,-0.842076)
(0.0870761,0.792422)
(-0.00311631,-0.17599)
(-0.0367705,0.510861)
(-0.128367,-0.209015)
(0.0581757,0.491741)
(0.418238,-1.55151)
(-0.0559212,0.358459)
(-0.370485,1.16286)
(-0.252076,-0.253603)
(0.252017,-0.32899)
(0.036889,-0.33636)
(0.461668,0.0834028)
(0.0173433,0.564297)
(-0.349113,-0.286518)
(-1.03883,-0.525941)
(1.11785,0.835186)
(-0.118515,-0.222751)
(0.468617,-0.0733503)
(-0.313909,-0.291848)
(0.285572,-0.0915153)
(-1.72953,0.47471)
(0.728767,0.33731)
(1.79725,-0.796851)
(-1.05356,0.324586)
(-0.27884,-0.12696)
(-0.330641,0.162167)
(0.076802,-0.00901294)
(0.705206,-0.235383)
(-0.224856,0.215529)
(-0.611559,0.656946)
(1.12286,-1.40031)
(-0.802593,0.778365)
(0.119955,-0.169625)
(-0.497839,0.401558)
(0.602169,-0.224785)
(0.236078,-0.102085)
(0.227251,-0.188566)
(-1.35453,0.328488)
(1.05291,-0.30524)
(-0.30302,0.486129)
(0.0966648,-0.277021)
(-0.117663,0.136346)
(0.332241,-0.656567)
(-0.3937,0.525499)
(0.047567,0.538574)
(0.269908,-0.767595)
(-0.118994,0.0516464)
(-0.234156,0.130425)
(0.0660135,0.0794103)
(-0.00926021,0.146707)
(-0.367417,-0.1875)
(0.158008,-0.231229)
(0.26449,-0.0112383)
(-0.0770463,0.32935)
(0.061758,0.376621)
(-0.379359,0.164526)
(0.165743,-0.254383)
(0.0462569,-1.92899)
(0.230698,1.89022)
(-0.148232,0.360028)
(-0.10277,-0.39433)
(-0.124519,-0.237474)
(-0.0346498,-0.236906)
(0.29226,0.0789352)
(1.03016,0.148234)
(-2.35345,0.205131)
(1.10743,-0.172511)
(0.532052,0.0873061)
(-0.101775,-0.142112)
(-0.396442,0.0466678)
(-0.149333,-0.0416814)
(0.156804,0.0631737)
(0.167412,-0.345144)
(-0.0482242,0.624069)
(0.20697,-0.0999511)
(-0.32829,-0.198302)
(-0.161991,-0.209947)
(0.174881,0.0951948)
(0.214808,0.0491962)
(0.53744,0.495458)
(-1.49936,-0.849904)
(0.616841,0.556076)
(0.759792,0.229032)
(-0.583559,-0.412393)
(0.214039,-0.391811)
(-0.599646,0.136101)
(0.360018,0.334323)
(0.0349685,1.2443)
(0.39189,-1.65313)
(-0.401454,-0.403834)
(-0.015231,0.866394)
(-0.080594,-0.178266)
(0.0373992,0.450429)
(0.0118781,-0.142833)
(0.117504,0.289946)
(0.526156,-1.62274)
(-0.758793,0.987041)
(-0.251484,0.66941)
(0.546851,-0.437871)
(-0.238915,-0.00531532)
(0.490703,-0.249061)
(-0.487564,0.0615752)
(0.710502,-0.136536)
(-1.19963,0.527059)
(0.183099,-0.217235)
(0.73039,-0.188331)
(0.148261,-0.0111986)
(-0.303303,0.165537)
(-0.420224,0.127208)
(-0.381916,0.0518227)
(1.44749,-0.800439)
(-0.744889,0.451868)
(-0.559811,0.502483)
(0.64627,-0.280549)
(0.205806,0.140165)
(-0.282974,-0.515869)
(-0.14515,0.168136)
(-0.521345,-0.678874)
(1.08481,1.6173)
(-0.26604,-0.171941)
(-0.390358,-1.17313)
(0.353921,0.343956)
(-0.348054,-0.135899)
(0.239973,0.402438)
(-0.289263,-0.151073)
(0.413494,0.802705)
(-0.0299351,-0.67655)
(-0.229415,-0.842076)
(0.0870761,0.792422)
(-0.00311631,-0.17599)
(-0.0367705,0.510861)
(-0.128367,-0.209015)
(0.0581757,0.491741)
(0.418238,-1.55151)
(-0.0559212,0.358459)
(-0.370485,1.16286)
(-0.252076,-0.253603)
(0.252017,-0.32899)
(0.036889,-0.33636)
(0.461668,0.0834028)
(0.0173433,0.564297)
(-0.349113,-0.286518)
(-1.03883,-0.525941)
(1.11785,0.835186)
(-0.118515,-0.222751)
(0.468617,-0.0733503)
(-0.313909,-0.291848)
(0.285572,-0.0915153)
(-1.72953,0.47471)
(0.728767,0.33731)
(1.79725,-0.796851)
(-1.05356,0.324586)
(-0.27884,-0.12696)
(-0.330641,0.162167)
(0.076802,-0.00901294)
(0.705206,-0.235383)
(-0.224856,0.215529)
(-0.611559,0.656946)
(1.12286,-1.40031)
(-0.802593,0.778365)
(0.119955,-0.169625)
(-0.497839,0.401558)
(0.602169,-0.224785)
(0.236078,-0.102085)
(0.227251,-0.188566)
(-1.35453,0.328488)
(1.05291,-0.30524)
(-0.30302,0.486129)
(0.0966648,-0.277021)
(-0.117663,0.136346)
(0.332241,-0.656567)
(-0.3937,0.525499)
(0.047567,0.538574)
(0.269908,-0.767595)
(-0.118994,0.0516464)
(-0.234156,0.130425)
(0.0660135,0.0794103)
(-0.00926021,0.146707)
(0.544194,-0.1875)
(-0.0938287,-0.290522)
(-0.772926,0.32624)
(0.287037,-0.027515)
(-0.143641,0.230747)
(0.573957,-0.195122)
(-0.0175695,-0.327671)
(0.395437,0.100626)
(-1.05678,0.129566)
(-0.763913,0.758093)
(1.59829,-0.982116)
(-0.0606504,0.145344)
(0.244316,-0.146599)
(-0.823022,0.316318)
(0.117369,0.0164581)
(-0.876584,0.506677)
(0.716761,-0.518017)
(2.13386,-1.12841)
(-2.36692,1.50822)
(0.00999355,-0.194175)
(0.208158,-0.186956)
(0.401571,-0.108848)
(0.126528,0.105454)
(-0.189134,0.0398758)
(-0.532118,-0.623138)
(1.08156,0.726216)
(-0.688026,-0.0520835)
(-0.324391,0.193746)
(0.306048,-0.334171)
(0.101814,-0.306586)
(0.435189,0.0269867)
(-0.396657,0.0289838)
(-0.219763,1.24112)
(-0.219918,-1.02824)
(0.462121,-0.296669)
(0.218936,0.119155)
(-0.338836,0.167381)
(0.159442,0.197632)
(-0.299547,0.0381736)
(0.0185316,-0.163426)
(0.432993,-0.0299847)
(-0.360469,0.0187653)
(0.0784299,-0.225461)
(0.0582594,-0.0239112)
(-0.0581151,0.388749)
(-0.0270107,0.296732)
(0.16902,0.0817483)
(-0.169648,-1.80424)
(-0.131512,1.45001)
(0.245457,0.165494)
(-0.112162,-0.15764)
(0.329062,-0.309691)
(-0.381237,-0.133797)
(0.123906,0.612669)
(-0.663474,0.130725)
(1.23789,-1.86877)
(-0.667499,1.78652)
(0.0734905,0.254716)
(0.197845,-0.497752)
(-0.616276,-0.412195)
(0.383002,-0.17651)
(-0.135877,0.317545)
(0.879947,0.373756)
(-0.947383,-0.00585215)
(-0.0808058,-0.0517767)
(0.356359,-0.2852)
(0.0606082,-0.409552)
(-0.173246,0.326688)
(0.00193541,0.317908)
(0.279499,0.627827)
(-0.0865728,-0.940001)
(-0.488377,-0.383465)
(0.393153,0.463659)
(-0.191236,0.242294)
(0.496102,0.0768928)
(-0.386747,-0.318744)
(0.385536,0.344233)
(-1.01074,-0.857606)
(0.753258,0.785388)
(0.0187271,0.140081)
(0.0674824,-0.577782)
(0.0369383,0.0761016)
(-0.513839,0.265491)
(0.303623,0.208728)
